nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.081,0.012,0.703,0.668,2.062,2.09,2.774,2.885,0.231,0.112,6.29,6.475,0.225,1.918,0.296,1
0,0.107,0.121,0.355,0.285,0.183,0.202,0.783,0.803,0.656,0.711,0.042,0.034,1.834,0.69,0.931,1
0.928,0.33,0.932,0.16,0.956,0.748,0.962,0.445,0.926,0.475,0.783,0.162,0.23,0.089,0.161,0.061,0.062
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.279,0.128,0.851,0.49,0.63,0.854,0.817,0.908,7.12,7.181,3.397,3.119,0.871,0.876,1.006,1
0,0.126,0.15,0.179,0.195,0.172,0.158,0.627,0.583,0.765,0.772,0.458,0.369,0.513,0.517,1.01,1
0.055,0.042,0.054,0.366,0.221,0.694,0.779,0.382,0.19,0.482,0.153,0.051,0.041,0.461,0.21,0.327,0.468
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.172,0.053,0.274,0.299,0.209,0.895,0.443,1.948,3.132,3.14,0.607,1.104,0.37,0.879,0.457,1
0,0.044,0.074,0.019,0.12,0.227,0.083,0.597,0.379,0.62,0.632,0.9,0.817,1.333,1.326,1.162,1
0.998,0.983,0.996,0.297,0.935,0.868,0.992,0.695,0.946,0.512,0.817,0.469,0.538,0.082,0.152,0.062,0.083
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.87,0.14,0.719,1.774,5.59,2.853,7.972,1.165,3.809,0.825,8.56,7.563,9.608,1.641,4.058,1
0,0.258,0.167,0.423,0.293,0.499,0.138,0.923,1.026,1.152,1.099,0.692,0.359,0.646,0.974,1.021,1
0.981,0.887,0.938,0.616,0.805,0.978,0.924,0.963,0.8,0.853,0.791,0.693,0.511,0.615,0.61,0.346,0.495
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.015,0.04,0.131,0.065,0.585,0.587,0.937,0.629,2.493,2.596,1.549,1.524,0.619,0.625,1.037,1
0,0.27,0.293,0.53,0.541,0.535,0.293,0.727,1.059,1.577,1.457,0.897,0.829,0.554,0.536,0.981,1
0.737,0.11,0.77,0.086,0.755,0.369,0.831,0.099,0.393,0.373,0.355,0.116,0.157,0.095,0.144,0.07,0.061
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.015,0.021,0.089,0.003,0.314,0.015,0.686,0.008,0.377,0.049,0.577,0.373,0.369,0.269,0.986,1
0,0.18,0.126,1.742,1.176,1.436,1.68,2.101,3.143,5.583,4.881,2.062,1.662,4.736,4.868,1.113,1
0.956,0.972,0.771,0.918,0.147,0.925,0.692,0.729,0.607,0.569,0.462,0.192,0.298,0.584,0.411,0.63,0.626
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.042,0.016,0.043,0.064,0.143,0.248,0.625,0.579,0.985,1.025,0.502,0.735,0.567,0.567,1.01,1
0,0.202,0.425,0.356,1.454,0.943,1.059,0.011,0.152,0.556,1.029,0.996,2.274,0.345,0.393,1.137,1
0.677,0.273,0.512,0.128,0.404,0.272,0.607,0.218,0.589,0.311,0.565,0.064,0.038,0.132,0.134,0.179,0.165
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,6.812,1.008,6.852,0.888,1.344,1.296,1.6,1.213,4.673,0.925,1.723,1.42,1.605,1.574,1.084,1
0,0.315,0.498,0.274,0.321,0.236,0.264,0.19,0.95,0.09,1.198,0.736,1.094,0.277,0.194,0.934,1
0.033,0.061,0.041,0.041,0.016,0.057,0.079,0.217,0.174,0.185,0.069,0.165,0.163,0.466,0.37,0.278,0.348
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.038,0.01,0.176,0.09,0.707,0.429,1.039,0.889,0.918,4.11,1.033,1.513,0.821,0.939,1.026,1
0,0.071,0.007,0.044,0.099,0.301,0.028,0.608,0.55,0.981,0.713,0.181,0.231,0.462,0.473,0.994,1
0.597,0.497,0.427,0.334,0.244,0.392,0.563,0.156,0.389,0.104,0.207,0.121,0.108,0.41,0.558,0.442,0.591
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.009,0.045,0.128,0.234,0.417,0.371,1.429,1.449,3.534,0.826,0.799,0.804,0.802,0.833,1.025,1
0,0.054,0.056,0.138,0.138,0.027,0.004,0.05,0.054,0.564,0.077,0.092,0.033,0.475,0.481,1.02,1
0.143,0.119,0.097,0.39,0.083,0.686,0.694,0.536,0.531,0.448,0.333,0.807,0.727,0.88,0.905,0.799,0.68
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
