nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.007,0.008,0.033,0.056,0.146,0.16,0.191,0.509,0.174,0.965,0.265,0.458,0.181,0.158,0.153,1
0,0.048,0.174,0.492,0.334,0.195,0.211,0.824,0.425,1.467,0.943,0.354,0.886,0.987,0.97,1.344,1
0.941,0.271,0.966,0.104,0.964,0.469,0.968,0.928,0.855,0.774,0.82,0.057,0.08,0.125,0.133,0.067,0.096
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.019,0.07,0.255,0.374,0.821,0.733,1.004,0.913,4.399,0.88,1.33,1.168,0.991,0.949,1.018,1
0,0.1,0.062,0.208,0.222,0.121,0.068,0.52,0.535,0.7,1.111,0.054,0.19,0.545,0.469,1.053,1
0.967,0.972,0.448,0.982,0.101,0.988,0.894,0.642,0.475,0.292,0.129,0.078,0.194,0.813,0.778,0.601,0.634
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.646,0.14,0.226,0.273,2.048,2.019,5.598,1.618,1.119,1.15,4.68,4.053,5.628,1.445,5.794,1
0,0.15,0.014,0.184,0.062,0.088,0.111,0.17,0.514,1.054,1.028,0.124,0.058,0.526,0.422,0.333,1
0.599,0.458,0.206,0.575,0.05,0.612,0.842,0.361,0.593,0.303,0.53,0.58,0.399,0.583,0.421,0.263,0.248
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.034,0,0.001,0.075,0.094,0.179,0.24,0.347,0.047,0.992,0.345,0.473,0.495,0.501,0.93,1
0,0.031,0.01,0.067,0.072,0.099,0.011,0.268,0.257,0.051,0.922,0.115,0.175,0.117,0.137,0.968,1
0.199,0.08,0.201,0.035,0.349,0.362,0.279,0.116,0.282,0.316,0.385,0.097,0.11,0.201,0.289,0.063,0.066
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.033,0.054,0.116,0.127,0.256,0.207,0.975,0.06,1.827,0.401,0.819,0.819,0.993,0.978,1.622,1
0,0.674,0.207,1.157,1.039,0.038,1.224,0.274,1.912,2.506,1.624,0.152,0.153,0.641,1.716,6.945,1
0.886,0.904,0.361,0.881,0.063,0.772,0.678,0.789,0.237,0.422,0.359,0.111,0.094,0.662,0.282,0.134,0.126
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.043,0.039,0.367,0.42,1.285,1.159,1.593,1.729,1.46,1.481,2.117,1.797,3.025,1.073,6.194,1
0,0.024,0.003,0.095,0.037,0.041,0.203,0.535,0.512,0.88,0.864,0.259,0.294,0.313,0.458,0.885,1
0.63,0.579,0.402,0.695,0.261,0.834,0.588,0.533,0.458,0.703,0.591,0.065,0.051,0.337,0.307,0.232,0.188
nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle
0,0.369,0.135,0.026,0.328,0.839,1.436,1.324,2.112,0.903,9.35,2.502,5.444,1.281,1.285,0.939,1
